ID|Text|Data
783454847790157824|@FabMont70 Sdv todos 🫡 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:40:42+00:00
1436434662046449664|"Tenho sangrando demais 
Tenho chorado pra cachorro 
Ano passado eu morri
Mas esse ano eu não morro.
Salve, salve Belchior!!
#LulaNo1oturno 
@AlexSpirro"|2022-09-18 18:40:50+00:00
363294335|"Faltam 2 domingos pra votar no 1️⃣3️⃣🇧🇷, votar na esperança e no amor ❤️ É Lulaaaaaa
Copie e cole. Vou votar em Lula! Sou Lula!!!!!🚩🚩🚩🚩🚩❤❤❤❤❤❤
@Nilsonhandebol
@LulaOficial
#LulaPresidente13 
#Lula13
#LulaNo1oturno"|2022-09-18 18:41:06+00:00
116776718|@Thaysa90872346 #LulaNo1oturno|2022-09-18 18:41:15+00:00
3380746403|"@ThiagoResiste @LulaOficial ESTOU COM LULA  #BrasilDaEsperança #LulaNo1oturno 
@DianaCh78830440"|2022-09-18 18:41:24+00:00
1162081408350871552|@taliriapetrone O que é insignificante é a esquerda com sua lógica do assalto e uso seguro de crack. #BolsonaroNoPrimeiroTurno22|2022-09-18 18:42:14+00:00
77251627|@LeudinhoLira @Nilsonhandebol Seguindo SDV|2022-09-18 18:42:14+00:00
1563253811783028736|"Bolsonaro foi a Londres aprender como se faz um enterro, para no dia 02/10 enterrar de vez a esquerda e seus seguidores.
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:42:19+00:00
1534252273009827845|@suzanatoop Que seja no Primeiro Turno para acabar de uma vez. #BolsonaroNoPrimeiroTurno22  🌻🌻🌻🇧🇷|2022-09-18 18:42:26+00:00
1163600300852355073|@direitasiqueira #BolsonaroNoPrimeiroTurno22|2022-09-18 18:42:36+00:00
1350781965696438275|Somos @carlaayres , @deciolimapt , @biavargas40 , @darioberger , @LulaOficial  , prontos para a nossa primavera? #LulaNo1oturno sem medo de ser feliz🎼♥️|2022-09-18 18:42:47+00:00
103842953|@senadorhumberto #BolsonaroNoPrimeiroTurno22|2022-09-18 18:42:52+00:00
130895983|#BolsonaroNoPrimeiroTurno22|2022-09-18 18:43:14+00:00
3402650200|@GugaNoblat Assim, pensei que vc fosse um jornalista e como tal soubesse que #BolsonaroNoPrimeiroTurno22 é o chefe de Estado e por esta razão está representando o Brasil, ele é o seu presidente, volte para a faculdade e estude um pouco mais.|2022-09-18 18:43:47+00:00
1544836707350204416|@geraldoalckmin @LulaOficial Xuxuxuxuxuxuxuxuxuxuuxuxuxuuuuuuuu é #BolsonaroNoPrimeiroTurno22|2022-09-18 18:44:02+00:00
